scenario,mode,N,b,c,w,mu,k,runs,birth_baseline,rescue_probability,rescue_se,censored_fraction,allc_at_rescue,allc_at_rescue_se,allc_g10,allc_g10_se,allc_g20,allc_g20_se,allc_g30,allc_g30_se,allc_g40,allc_g40_se,allc_g50,allc_g50_se,allc_g60,allc_g60_se,allc_g70,allc_g70_se,allc_g80,allc_g80_se,allc_g90,allc_g90_se,allc_g100,allc_g100_se
core,constant,100,5,1,1,0,0,500,3,0.876,0.01473933513,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
core,constant,100,5,1,1,0.2,0,500,3,0.996,0.002822764602,0,0.9233333333,0.006450751109,0.7594176707,0.005867604798,0.7214056225,0.00608359078,0.6897389558,0.006482802083,0.6756425703,0.006521507292,0.6753815261,0.006368018007,0.6736746988,0.006143716123,0.6658232932,0.006376366877,0.6714859438,0.006433012113,0.6704417671,0.006208977372,0.6848995984,0.006429727968
core,constant,100,5,1,1,0.4,0,500,3,0.998,0.001997998999,0,0.8680561122,0.007483396088,0.6180961924,0.00586563932,0.5561122244,0.005974454784,0.5452905812,0.006090120867,0.5384168337,0.006296615297,0.5421242485,0.006219612948,0.5389378758,0.006351113719,0.5433266533,0.006307351972,0.5331663327,0.006397470369,0.5290981964,0.006852924668,0.5220240481,0.007019878975
core,constant,100,5,1,1,0.6,0,500,3,1,0,0,0.83534,0.008585498843,0.52064,0.005897587972,0.44812,0.005778417727,0.43546,0.006344800216,0.4238,0.006695908481,0.43072,0.006811266395,0.42256,0.007044924039,0.423,0.006874278975,0.41822,0.006932227257,0.40362,0.007096457611,0.39968,0.007328301523
core,constant,100,5,1,1,0.8,0,500,3,1,0,0,0.81692,0.008879838414,0.43592,0.006079129776,0.34966,0.006499342405,0.3309,0.006489237274,0.31246,0.00694994246,0.304,0.007165828507,0.29464,0.007923136562,0.28282,0.008031482093,0.2643,0.00803475791,0.25976,0.008501272143,0.25516,0.008436272292
core,constant,100,5,1,1,1,0,500,3,1,0,0,0.78676,0.01031584403,0.35538,0.005785763677,0.27424,0.006285081487,0.23276,0.006654542108,0.208,0.006970593831,0.18714,0.007212828196,0.17694,0.007411256726,0.16462,0.007651012167,0.15042,0.007627660822,0.12616,0.007041994616,0.12068,0.007324696414
core,constant,100,5,1,1,1.2,0,500,3,1,0,0,0.75932,0.01029733682,0.2977,0.005413800742,0.20262,0.005739316222,0.1689,0.006290207741,0.1321,0.006018573457,0.11436,0.00616405483,0.09902,0.006197685197,0.07832,0.005685684587,0.068,0.00533450221,0.05482,0.004791058723,0.04514,0.004390959103
core,constant,100,5,1,1,1.4,0,500,3,1,0,0,0.72024,0.01178177853,0.23382,0.005313575384,0.14116,0.005164673902,0.095,0.005153398396,0.06114,0.004401789671,0.04878,0.004436754758,0.03772,0.003854883065,0.02798,0.003500506577,0.01838,0.002826008466,0.01618,0.002744134791,0.01056,0.001972601103
core,constant,100,5,1,1,1.6,0,500,3,1,0,0,0.69226,0.01238189029,0.18094,0.005103756407,0.08902,0.004540540962,0.0541,0.003918352584,0.03356,0.003480759137,0.0231,0.00289072527,0.0103,0.001841467351,0.00378,0.0009806868478,0.00248,0.0009699385349,0.00184,0.0008343987311,0.00118,0.0008023107909
core,constant,100,5,1,1,1.8,0,500,3,1,0,0,0.67596,0.01226906748,0.15054,0.004639273922,0.06296,0.00373577151,0.02572,0.002692854644,0.01304,0.001953137551,0.00694,0.001462446683,0.00328,0.001124371657,0.00142,0.0007385513633,0.00068,0.0005196298976,0,0,0,0
core,constant,100,5,1,1,2,0,500,3,1,0,0,0.66286,0.01242984485,0.11818,0.004235286354,0.04104,0.003452894693,0.01464,0.002050499915,0.00488,0.001048508436,0.00118,0.0006917892343,0.00114,0.0006790604142,0.00024,0.00024,0,0,0,0,0,0
core,responsive,100,5,1,1,0,0,500,3,0.876,0.01473933513,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
core,responsive,100,5,1,1,0.2,0,500,3,0.93,0.01141052146,0,0.9341935484,0.01044959887,0.943655914,0.009990722649,0.9454193548,0.01001240036,0.9483010753,0.009894877068,0.9502795699,0.009878634971,0.9510322581,0.009880380338,0.9512043011,0.009881511031,0.9520215054,0.009860375779,0.9522150538,0.009857206891,0.9519354839,0.009864548454,0.9522365591,0.009861685741
core,responsive,100,5,1,1,0.4,0,500,3,0.98,0.006260990337,0,0.9360612245,0.009855323826,0.9446938776,0.009376453678,0.9510408163,0.009127856428,0.9547755102,0.009017237296,0.9558979592,0.009026172337,0.9566938776,0.009014556828,0.9577755102,0.00897452104,0.9580612245,0.008960927796,0.9581428571,0.008965991698,0.9585714286,0.00896296327,0.9589591837,0.00894846319
core,responsive,100,5,1,1,0.6,0,500,3,0.986,0.005254331546,0,0.9220689655,0.01001616663,0.9380730223,0.009193439231,0.9471196755,0.0089970389,0.9549290061,0.008783161598,0.9567342799,0.008740040446,0.9568154158,0.00880120947,0.9573225152,0.008793656413,0.9597565923,0.008694905989,0.9608924949,0.008679015832,0.9611967546,0.008679962653,0.9614604462,0.008678336798
core,responsive,100,5,1,1,0.8,0,500,3,0.994,0.003453693675,0,0.9294768612,0.008660362706,0.9462977867,0.007616276964,0.9578470825,0.007106089843,0.9662374245,0.006899420195,0.9710462777,0.006767032128,0.9738832998,0.006706197538,0.9752515091,0.006693115347,0.9759557344,0.006668516869,0.9764587525,0.006647617614,0.9772434608,0.006611379647,0.9777867203,0.00660543811
core,responsive,100,5,1,1,1,0,500,3,0.996,0.002822764602,0,0.9353815261,0.007693319255,0.96,0.006137407735,0.9729919679,0.005604058246,0.9804417671,0.005108498062,0.9836546185,0.005038115849,0.9848393574,0.004999429132,0.9868072289,0.004933119357,0.9872088353,0.004946286634,0.9875100402,0.004911568578,0.9876706827,0.004900527245,0.9877309237,0.00489773892
core,responsive,100,5,1,1,1.2,0,500,3,0.996,0.002822764602,0,0.9355421687,0.007950738312,0.9587550201,0.006369049125,0.9702811245,0.005904133628,0.9757028112,0.005676821795,0.9782730924,0.005614672593,0.9788554217,0.005676481431,0.9813453815,0.005513845266,0.9829718876,0.005390686787,0.9834337349,0.005389947247,0.9843975904,0.005337308502,0.9855823293,0.00528673332
core,responsive,100,5,1,1,1.4,0,500,3,1,0,0,0.93456,0.007424868358,0.96072,0.005638736907,0.9735,0.004803378487,0.98174,0.004404764318,0.98536,0.004307348058,0.98776,0.004250328857,0.98892,0.00413713657,0.99034,0.004054954267,0.99148,0.004006360074,0.99158,0.003999324492,0.9917,0.003998023059
core,responsive,100,5,1,1,1.6,0,500,3,1,0,0,0.94354,0.006737456749,0.96944,0.004625122302,0.9794,0.003852292865,0.9859,0.003537882591,0.99072,0.003105196885,0.9924,0.003091600879,0.99288,0.003094926225,0.99356,0.00310734033,0.99472,0.002952571516,0.99522,0.00288279799,0.99558,0.00283997502
core,responsive,100,5,1,1,1.8,0,500,3,1,0,0,0.92926,0.008284090603,0.9551,0.006540423096,0.96846,0.00582631519,0.97374,0.005638298113,0.97888,0.00548255488,0.98024,0.005472676235,0.98326,0.005317188146,0.9844,0.005330638932,0.98538,0.005286208395,0.98534,0.005297347693,0.98564,0.005269983515
core,responsive,100,5,1,1,2,0,500,3,1,0,0,0.94422,0.006500561345,0.96758,0.004641786247,0.97874,0.003906372267,0.98302,0.00379015696,0.98708,0.003534619395,0.98906,0.003499704081,0.99168,0.003206449413,0.9927,0.003093632351,0.99506,0.002878778827,0.99586,0.002827243784,0.996,0.002825591608
robustness,constant,50,3,1,0.25,1,0,300,3,0.9866666667,0.006622073078,0,0.629527027,0.01854064563,0.04952702703,0.004727011522,0.006418918919,0.001788790535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
